[2026-05-30T14:25:06.409Z] GET http://localhost:8766/index.html → 200 (2ms, 52704B)
[2026-05-30T14:25:06.414Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (183ms, 10028B)
[2026-05-30T14:25:06.603Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → pending (?ms, ?B)
[2026-05-30T14:26:41.858Z] GET http://localhost:8766/index.html → 200 (1ms, 52717B)
[2026-05-30T14:26:41.862Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (?ms, 10028B)
[2026-05-30T14:26:41.864Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-05-30T14:27:05.739Z] GET http://localhost:8766/index.html → 200 (1ms, 52717B)
[2026-05-30T14:27:05.742Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (?ms, 10028B)
[2026-05-30T14:27:05.743Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-05-30T14:32:24.096Z] GET http://localhost:8766/index.html → 200 (2ms, 52717B)
[2026-05-30T14:32:24.100Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (?ms, 10028B)
[2026-05-30T14:32:24.102Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-05-30T14:33:45.331Z] GET http://localhost:8766/index.html → 200 (1ms, 52739B)
[2026-05-30T14:33:45.334Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (?ms, 10028B)
[2026-05-30T14:33:45.336Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-05-30T14:34:43.759Z] GET http://localhost:8766/index.html → 200 (2ms, 52739B)
[2026-05-30T14:34:43.763Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (?ms, 10028B)
[2026-05-30T14:34:43.764Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-05-30T14:35:47.889Z] GET http://localhost:8766/index.html → 200 (1ms, 52757B)
[2026-05-30T14:35:47.892Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (?ms, 10028B)
[2026-05-30T14:35:47.894Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
